country,crpd_category,crpd_category_v,year,cpi_score,power_distance,individualism,motivation,uncertainty_avoidance,long_term_orientation,indulgence,democracy_index,democracy_cat,freedom_index,gdp,human_development_index,life_expectancy,expected_years_of_schooling,mean_years_of_schooling,crime_index,safety_index,unemployment_rate,signed,ratified,protocol
Congo,signed and ratified convention with protocol,5,2022,21,NA,NA,NA,NA,NA,NA,2.79,Authoritarian Regime,17,2447.99,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
Cook Islands,signed or ratified convention with protocol,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE
Costa Rica,signed and ratified convention with protocol,5,2022,54,NA,NA,NA,NA,NA,NA,8.29,Full Democracy,91,13198.82,NA,NA,NA,NA,53.9,46.1,11.32,TRUE,TRUE,TRUE
Cote d'Ivoire,signed and ratified convention with protocol,5,2022,37,NA,NA,NA,NA,NA,NA,4.22,Hybrid Regime,49,2486.41,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
Croatia,signed and ratified convention with protocol,5,2022,50,NA,NA,NA,NA,NA,NA,6.5,Flawed Democracy,85,18413.23,NA,NA,NA,NA,24.1,75.9,6.96,TRUE,TRUE,TRUE
Cuba,signed and ratified convention,3,2022,45,NA,NA,NA,NA,NA,NA,2.65,Authoritarian Regime,12,NA,NA,NA,NA,NA,30.9,69.1,NA,TRUE,TRUE,FALSE
Cyprus,signed and ratified convention with protocol,5,2022,52,NA,NA,NA,NA,NA,NA,7.38,Flawed Democracy,93,31283.51,NA,NA,NA,NA,32.1,67.9,6.78,TRUE,TRUE,TRUE
Czech Republic,signed and ratified convention with protocol,5,2022,56,NA,NA,NA,NA,NA,NA,7.97,Flawed Democracy,91,27638.37,NA,NA,NA,NA,25.5,74.5,2.22,TRUE,TRUE,TRUE
North Korea,signed and ratified convention,3,2022,NA,NA,NA,NA,NA,NA,NA,1.08,Authoritarian Regime,3,NA,NA,NA,NA,NA,60.3,39.7,NA,TRUE,TRUE,FALSE
Democratic Republic of the Congo,signed or ratified convention with protocol,4,2022,20,NA,NA,NA,NA,NA,NA,1.48,Authoritarian Regime,19,586.46,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE
Denmark,signed and ratified convention,3,2022,90,NA,NA,NA,NA,NA,NA,9.28,Full Democracy,97,66983.13,NA,NA,NA,NA,26.6,73.4,4.43,TRUE,TRUE,FALSE
Djibouti,signed or ratified convention with protocol,4,2022,30,NA,NA,NA,NA,NA,NA,2.74,Authoritarian Regime,24,3136.11,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE
Dominica,signed and ratified convention with protocol,5,2022,55,NA,NA,NA,NA,NA,NA,NA,NA,93,8414.54,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
Dominican Republic,signed and ratified convention with protocol,5,2022,32,NA,NA,NA,NA,NA,NA,6.39,Flawed Democracy,68,10120.55,NA,NA,NA,NA,60.9,39.1,NA,TRUE,TRUE,TRUE
Ecuador,signed and ratified convention with protocol,5,2022,36,NA,NA,NA,NA,NA,NA,5.69,Hybrid Regime,71,6391.28,NA,NA,NA,NA,57.2,42.8,3.76,TRUE,TRUE,TRUE
Egypt,signed and ratified convention,3,2022,30,NA,NA,NA,NA,NA,NA,2.93,Authoritarian Regime,18,4295.41,NA,NA,NA,NA,46.6,53.4,NA,TRUE,TRUE,FALSE
El Salvador,signed and ratified convention with protocol,5,2022,33,NA,NA,NA,NA,NA,NA,5.06,Hybrid Regime,59,5127.32,NA,NA,NA,NA,68.6,31.4,3,TRUE,TRUE,TRUE
Equatorial Guinea,signed or ratified convention,2,2022,17,NA,NA,NA,NA,NA,NA,1.92,Authoritarian Regime,5,7053.47,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
Estonia,signed and ratified convention with protocol,5,2022,74,NA,NA,NA,NA,NA,NA,7.96,Flawed Democracy,94,28332.63,NA,NA,NA,NA,23.8,76.2,5.57,TRUE,TRUE,TRUE
Eswatini,signed and ratified convention with protocol,5,2022,30,NA,NA,NA,NA,NA,NA,3.01,Authoritarian Regime,17,4039.52,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
Ethiopia,signed and ratified convention,3,2022,38,NA,NA,NA,NA,NA,NA,3.17,Authoritarian Regime,23,1027.59,NA,NA,NA,NA,50.1,49.9,NA,TRUE,TRUE,FALSE
Fiji,signed and ratified convention with protocol,5,2022,53,NA,NA,NA,NA,NA,NA,5.55,Hybrid Regime,58,5316.66,NA,NA,NA,NA,55.6,44.4,NA,TRUE,TRUE,TRUE
Finland,signed and ratified convention with protocol,5,2022,87,NA,NA,NA,NA,NA,NA,9.29,Full Democracy,100,50536.62,NA,NA,NA,NA,27.3,72.7,6.72,TRUE,TRUE,TRUE
France,signed and ratified convention with protocol,5,2022,72,NA,NA,NA,NA,NA,NA,8.07,Full Democracy,89,40963.84,NA,NA,NA,NA,52.4,47.6,7.31,TRUE,TRUE,TRUE
Gabon,signed and ratified convention with protocol,5,2022,29,NA,NA,NA,NA,NA,NA,3.4,Authoritarian Regime,21,8820.35,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
Gambia,signed or ratified convention with protocol,4,2022,34,NA,NA,NA,NA,NA,NA,4.47,Hybrid Regime,47,840.01,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE
Georgia,signed and ratified convention with protocol,5,2022,56,NA,NA,NA,NA,NA,NA,5.2,Hybrid Regime,58,6627.71,NA,NA,NA,NA,24.3,75.7,NA,TRUE,TRUE,TRUE
Germany,signed and ratified convention with protocol,5,2022,79,NA,NA,NA,NA,NA,NA,8.8,Full Democracy,94,48432.46,NA,NA,NA,NA,36.4,63.6,3.14,TRUE,TRUE,TRUE
Ghana,signed and ratified convention with protocol,5,2022,43,NA,NA,NA,NA,NA,NA,6.43,Flawed Democracy,80,2175.86,NA,NA,NA,NA,46.8,53.2,NA,TRUE,TRUE,TRUE
Greece,signed and ratified convention with protocol,5,2022,52,NA,NA,NA,NA,NA,NA,7.97,Flawed Democracy,87,20732.05,NA,NA,NA,NA,47.4,52.6,12.43,TRUE,TRUE,TRUE
Grenada,signed and ratified convention,3,2022,52,NA,NA,NA,NA,NA,NA,NA,NA,89,10016.21,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
Guatemala,signed and ratified convention with protocol,5,2022,24,NA,NA,NA,NA,NA,NA,4.68,Hybrid Regime,51,5473.21,NA,NA,NA,NA,58.3,41.7,3.05,TRUE,TRUE,TRUE
Guinea,signed and ratified convention with protocol,5,2022,25,NA,NA,NA,NA,NA,NA,2.32,Authoritarian Regime,34,1531.66,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
Guinea-Bissau,signed and ratified convention with protocol,5,2022,21,NA,NA,NA,NA,NA,NA,2.56,Authoritarian Regime,43,775.83,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
Guyana,signed and ratified convention,3,2022,40,NA,NA,NA,NA,NA,NA,6.34,Flawed Democracy,73,18989.79,NA,NA,NA,NA,68.9,31.1,NA,TRUE,TRUE,FALSE
Haiti,signed or ratified convention with protocol,4,2022,17,NA,NA,NA,NA,NA,NA,2.81,Authoritarian Regime,33,1748.26,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE
